Whales,matchingID,sounder,,,,New Matching Info Here,,Sounder,Note
Shackleton,21,,,,,21,Shackleton,y,was called shrimp when he was first ID'd but it is only colloquial now
Shackelton,21,,,,,22,Earhart,y,
Earhart,22,,,,,42,,,
Earheart,22,,,,,44,Dubnuck,y,
Eaerhart,22,,,,,49,Patch,y,
Dubnunk,44,,,,,53,Little Patch,y,
Possibly Dubknuck,44,,,,,56,Stardust,y,
Dubnuk,44,,,,,185,Gisborne,y,
Dubnuck,44,,,,,225,,,
Patches,49,,,,,356,Carson,y,
Stardust,56,,,,,383,Cascade,y,
Gisborne,185,,,,,531,Gretchen,y,
Carson,356,,,,,723,Lucyfer,y,
Cascade,383,,,,,1364,,,
Gretchen,531,sounder,,,,2234,Polka Dot,n,
Cretchen,531,,,,,2240,,,
Lucy,723,(misgendered lucyfer),,,,2246,,,
Lucifer,723,,,,,2249,Hattie,y,
Hattie,2249,,,,,2252,,,
Stalwart,2356,,,,,2253,,,
Delta,2356,,,,,2255,,,
Thidwick,2362,sounders,,,,2256,,,
Tahoma,2440,,,,,2258,,,
#383,cascade,,,,,2259,,,
#2234,CRC-2234,,,,,2261,,,
#22,earhart,,,,,2262,,,
CRC-22,earhart,sounder,,,,2356,Stalwart,y,
#2249,hattie,,,,,2362,Thidwick,y,
CRC-53,little patch,,,,,2440,Tahoma,y,
#723,lucyfer,y,,,,2441,,,
CRC-723,lucyfer,sounder,,,,2445,,,
#2259,no name,,,,,2447,,,
CRC-2246,no name,sounder,,,,,,,
CRC-2549,no name,,,,,,,,
CRC-2255,no name,sounder?,,,,,,,
#2262,no name,,,,,,,,
#42,no name,sounder,,,,,,,
#33,no name,sounder,,,,,,,
#2261,no name,,,,,,,,
#2253,no name,,,,,,,,
#2252,no name,,,,,,,,
#2251,no name,,,,,,,,
#49,patch,,,,,,,,
CRC-49,patch,,,,,,,,
CRC-2234,polka dot,not sounder,,,,,,,
#2356,stalwart,,,,,,,,
Sounder,unknown,sou,,,,,,,
Crc,unknown,,,,,,,,
CRC-44,,,,,,,,,
CRC-56,,,,,,,,,
#44,,,,,,,,,
Shrimp,,,,,,,,,
Saratoga,,,,,,,,,
#185,,,,,,,,,
#21,,,,,,,,,
#724,,,,,,,,,
CRC-531,,,,,,,,,
CRC-383,,,,,,,,,
CRC-21,,,,,,,,,
#531,,,,,,,,,
CRC-185,,,,,,,,,
Patch,,,,,,,,,
Lucyfer,,,,,,,,,
Dubknuck,,,,,,,,,
Lucyfe,,,,,,,,,
Gedney,,,,,,,,,
#56,,,,,,,,,
Little Patch,,,,,,,,,
#53,,,,,,,,,
Shack,,,,,,,,,
Likely Shackleton,,,,,,,,,
#2258,,,,,,,,,
#356,,,,,,,,,
CRC-2262,,,,,,,,,
#2246,,,,,,,,,